game_id,game_date,season,home_team,away_team,home_team_abbr,away_team_abbr,home_score,away_score,spread
0022300061,2023-10-24,2024,Denver Nuggets,Los Angeles Lakers,DEN,LAL,119,107,0.0
0022300062,2023-10-24,2024,Golden State Warriors,Phoenix Suns,GSW,PHX,104,108,0.0
0022300063,2023-10-25,2024,Charlotte Hornets,Atlanta Hawks,CHA,ATL,116,110,0.0
0022300065,2023-10-25,2024,New York Knicks,Boston Celtics,NYK,BOS,104,108,0.0
0022300067,2023-10-25,2024,Brooklyn Nets,Cleveland Cavaliers,BKN,CLE,113,114,0.0
0022300071,2023-10-25,2024,Memphis Grizzlies,New Orleans Pelicans,MEM,NOP,104,111,0.0
0022300070,2023-10-25,2024,Chicago Bulls,Oklahoma City Thunder,CHI,OKC,104,124,0.0
0022300073,2023-10-25,2024,San Antonio Spurs,Dallas Mavericks,SAS,DAL,119,126,0.0
0022300066,2023-10-25,2024,Orlando Magic,Houston Rockets,ORL,HOU,116,86,0.0
0022300074,2023-10-25,2024,LA Clippers,Portland Trail Blazers,LAC,POR,123,111,0.0
0022300068,2023-10-25,2024,Miami Heat,Detroit Pistons,MIA,DET,103,102,0.0
0022300069,2023-10-25,2024,Toronto Raptors,Minnesota Timberwolves,TOR,MIN,97,94,0.0
0022300064,2023-10-25,2024,Indiana Pacers,Washington Wizards,IND,WAS,143,120,0.0
0022300072,2023-10-25,2024,Utah Jazz,Sacramento Kings,UTA,SAC,114,130,0.0
0022300076,2023-10-26,2024,Los Angeles Lakers,Phoenix Suns,LAL,PHX,100,95,0.0
0022300075,2023-10-26,2024,Milwaukee Bucks,Philadelphia 76ers,MIL,PHI,118,117,0.0
0022300079,2023-10-27,2024,Atlanta Hawks,New York Knicks,ATL,NYK,120,126,0.0
0022300080,2023-10-27,2024,Boston Celtics,Miami Heat,BOS,MIA,119,111,0.0
0022300081,2023-10-27,2024,Cleveland Cavaliers,Oklahoma City Thunder,CLE,OKC,105,108,0.0
0022300082,2023-10-27,2024,Chicago Bulls,Toronto Raptors,CHI,TOR,104,103,0.0
0022300084,2023-10-27,2024,Dallas Mavericks,Brooklyn Nets,DAL,BKN,125,120,0.0
0022300078,2023-10-27,2024,Memphis Grizzlies,Denver Nuggets,MEM,DEN,104,108,0.0
0022300087,2023-10-27,2024,Sacramento Kings,Golden State Warriors,SAC,GSW,114,122,0.0
0022300083,2023-10-27,2024,San Antonio Spurs,Houston Rockets,SAS,HOU,126,122,0.0
0022300085,2023-10-27,2024,Utah Jazz,LA Clippers,UTA,LAC,120,118,0.0
0022300086,2023-10-27,2024,Portland Trail Blazers,Orlando Magic,POR,ORL,97,102,0.0
0022300077,2023-10-27,2024,Charlotte Hornets,Detroit Pistons,CHA,DET,99,111,0.0
0022300091,2023-10-28,2024,Cleveland Cavaliers,Indiana Pacers,CLE,IND,113,125,0.0
0022300090,2023-10-28,2024,New Orleans Pelicans,New York Knicks,NOP,NYK,96,87,0.0
0022300088,2023-10-28,2024,Detroit Pistons,Chicago Bulls,DET,CHI,118,102,0.0
0022300093,2023-10-28,2024,Minnesota Timberwolves,Miami Heat,MIN,MIA,106,90,0.0
0022300092,2023-10-28,2024,Toronto Raptors,Philadelphia 76ers,TOR,PHI,107,114,0.0
0022300094,2023-10-28,2024,Phoenix Suns,Utah Jazz,PHX,UTA,126,104,0.0
0022300089,2023-10-28,2024,Washington Wizards,Memphis Grizzlies,WAS,MEM,113,106,0.0
