feature,importance,category,importance_pct
market_home_ml_prob,0.039670452,Market Odds,3.97
market_prob_diff,0.034895133,Market Odds,3.49
market_away_ml_prob,0.031186137,Market Odds,3.12
record_diff,0.015509894,Record,1.55
away_off_epa_at_home,0.015225073,PBP (EPA),1.52
away_edge_out,0.014589607,Injury,1.46
home_qb_out,0.013794322,Injury,1.38
home_players_questionable,0.012775375,Other,1.28
away_off_epa_on_road,0.01273938,PBP (EPA),1.27
away_rest_days,0.012478914,Rest Days,1.25
away_injury_adj_def_epa,0.012461178,Injury,1.25
home_injury_adj_off_epa,0.012395685,Injury,1.24
away_off_run_rate,0.012338803,Other,1.23
home_win_pct,0.012262037,Record,1.23
away_off_success_rate,0.012133063,PBP (EPA),1.21
away_off_3rd_down_conv_rate,0.01198885,Other,1.2
away_off_success_on_road,0.011932931,PBP (EPA),1.19
rest_advantage,0.011884561,Rest Days,1.19
home_edge_out,0.011838027,Injury,1.18
home_recent_form_epa,0.011787741,PBP (EPA),1.18
home_off_turnover_rate,0.011660624,Other,1.17
away_recent_form_epa,0.011575869,PBP (EPA),1.16
injury_impact_differential,0.011475743,Injury,1.15
home_injury_adj_def_epa,0.011457124,Injury,1.15
home_off_epa_on_road,0.011419584,PBP (EPA),1.14
home_off_success_rate,0.011388686,PBP (EPA),1.14
away_passing_tds_per_game,0.011347992,Team Stats,1.13
away_injury_adj_off_epa,0.011294153,Injury,1.13
home_wins,0.011138117,Record,1.11
away_total_injury_impact,0.011107061,Injury,1.11
home_off_explosive_play_rate,0.011079154,PBP (EPA),1.11
away_def_epa_per_play,0.011051718,PBP (EPA),1.11
away_def_injury_impact,0.011005949,Injury,1.1
away_def_success_rate,0.010994274,PBP (EPA),1.1
away_losses,0.010891228,Record,1.09
home_off_epa_per_play,0.010856464,PBP (EPA),1.09
combined_injury_impact,0.010763634,Injury,1.08
home_def_turnover_rate,0.010674914,Other,1.07
away_off_red_zone_td_rate,0.010529478,Other,1.05
home_def_injury_impact,0.010528883,Injury,1.05
home_premium_injuries,0.010485337,Other,1.05
home_top_wr_out,0.0104751745,Injury,1.05
