feature,importance
home_home_win_pct,0.016171932
home__win_pct,0.013998225
away_home_win_pct,0.011731507
away_last5_win_pct,0.010494121
away__win_pct,0.010480754
away_away_win_pct,0.010299709
home__losses,0.009595845
home_home_fg_pct,0.008824184
home__efg_pct,0.0077788793
home_home_fgm,0.0076614306
away_rest_days,0.00754016
away_home_fg3_pct,0.007386059
away__fgm,0.007226949
away__efg_pct,0.0068305284
home_last5_win_pct,0.006704616
home__dreb,0.006689993
home__wins,0.0066189924
away_last5_fg_pct,0.0065700505
home_away_losses,0.0065432815
away_home_fg_pct,0.0065307524
away__tov,0.0064813616
away__wins,0.0064567076
home__fgm,0.0064421585
home_away_fta,0.00636926
home_away_fg_pct,0.006349165
home_away_ftm,0.0063280244
home_last5_ts_pct,0.0063031316
home_away_blk,0.0062494758
home__ts_pct,0.006215118
away_away_fg3m,0.006203282
home_away_reb,0.0061478307
home_home_ppg,0.0060811196
away_home_wins,0.006050973
home__ft_rate,0.0060283006
away__blk,0.005970614
home__ast,0.0059377896
home_away_ts_pct,0.0059340843
away_away_oreb,0.0059102857
away__ftm,0.0058759036
away_home_ftm,0.005823084
home__tov_rate,0.0058083865
home_home_ast,0.005726954
away_away_blk,0.0056889514
home_home_efg_pct,0.0056525366
home_home_fg3_pct,0.005646584
away_away_efg_pct,0.005645147
away_last5_fgm,0.005639654
away__fg3_pct,0.00560594
away__ts_pct,0.0056035942
away_away_fga,0.005588983
home__points_allowed,0.005551455
away__losses,0.005541835
away_home_ft_rate,0.0055246516
home_away_fga,0.0055036684
away__fg3a,0.0054593356
home__tov,0.005435223
home_home_wins,0.0054087085
away__fg3m,0.0053777634
away_home_dreb,0.0053705703
home_home_losses,0.0053661335
away_away_ft_rate,0.005308175
home__ft_pct,0.0052968645
away__stl,0.005254919
away_away_fta,0.0052541196
home_away_dreb,0.0052453047
home_home_fga,0.0052177757
home__oreb,0.0052160174
away_away_fgm,0.00521589
away_home_oreb,0.0052074078
home_away_ppg,0.005202025
away_away_tov_rate,0.0051574
home_last5_ast,0.005144565
home_home_ft_rate,0.0051410273
home_last5_fg_pct,0.005096349
home_last5_ppg,0.0050671124
away_home_ft_pct,0.005042022
home_last5_blk,0.0050327396
away_home_efg_pct,0.0050297473
home_away_stl,0.005029579
home_home_ftm,0.0050240406
home_away_fg3m,0.0050048903
home_last5_tov,0.0050033135
home_last5_ft_pct,0.004999293
home_last5_ft_rate,0.0049198247
home_away_ft_pct,0.0049190787
away__ast,0.0048716795
away_away_reb,0.004825639
home_last5_reb,0.004816081
away__fta,0.0048056496
